tunnel_id,label,rr,A_frequency,AAAA_frequency,CNAME_frequency,TXT_frequency,MX_frequency,NS_frequency,NULL_frequency,rr_count,distinct_ip,unique_ttl,total_queries
541,0,0.4,0.4,0.17142857142857143,,0.22857142857142856,,,,21.057142857142857,2,7,35
542,0,0.32432432432432434,0.32432432432432434,0.08108108108108109,,0.4864864864864865,,,,21,0,1,37
543,0,0.32142857142857145,0.32142857142857145,0.10714285714285714,,0.4642857142857143,,,,21,0,3,28
544,0,0.3333333333333333,0.3333333333333333,0.037037037037037035,,0.4444444444444444,,,,23.11111111111111,1,12,27
545,0,0.16,0.16,0.12,,0.6,,,,11,2,7,25
546,0,0.4,0.4,0.06666666666666667,,0.43333333333333335,,,,21,0,3,30
547,0,0.38095238095238093,0.38095238095238093,0.047619047619047616,,0.47619047619047616,,,,21,0,2,21
548,0,0.4838709677419355,0.4838709677419355,0.12903225806451613,,0.2903225806451613,,,,21.29032258064516,2,7,31
549,0,0.3333333333333333,0.3333333333333333,0.2,,0.3,,,,21,2,2,30
550,0,0.42857142857142855,0.42857142857142855,0.10714285714285714,,0.35714285714285715,,,,21.214285714285715,2,5,28
551,0,0.2916666666666667,0.2916666666666667,0.125,,0.4166666666666667,,,,21,0,2,24
552,0,0.25,0.25,0.15625,,0.5,,,,19.21875,5,1,32
553,0,0.3684210526315789,0.3684210526315789,0.05263157894736842,,0.3684210526315789,,,,21,0,1,19
554,0,0.46875,0.46875,0.125,,0.28125,,,,21.40625,2,8,32
555,0,0.34375,0.34375,0.125,,0.4375,,,,21,0,1,32
556,0,0.2857142857142857,0.2857142857142857,0.17857142857142858,,0.35714285714285715,,,,21,0,5,28
557,0,0.3225806451612903,0.3225806451612903,0.06451612903225806,,0.45161290322580644,,,,21,0,1,31
558,0,0.29411764705882354,0.29411764705882354,0.17647058823529413,,0.4117647058823529,,,,21,0,4,34
559,0,0.47058823529411764,0.47058823529411764,0.23529411764705882,,0.17647058823529413,,,,21,1,6,17
560,0,0.24,0.24,0.04,,0.4,,,,21,0,2,25
561,0,0.43333333333333335,0.43333333333333335,0.03333333333333333,,0.43333333333333335,,,,21.466666666666665,2,13,30
562,0,0.2857142857142857,0.2857142857142857,0.047619047619047616,,0.6190476190476191,,,,21,1,5,21
563,0,0.46153846153846156,0.46153846153846156,0.15384615384615385,,0.3076923076923077,,,,21.26923076923077,2,8,26
564,0,0.32,0.32,0.24,,0.36,,,,21,0,4,25
565,0,0.23076923076923078,0.23076923076923078,0.07692307692307693,,0.5384615384615384,,,,21,1,6,26
566,0,0.4782608695652174,0.4782608695652174,0.13043478260869565,,0.17391304347826086,,,,21,0,1,23
567,0,0.43478260869565216,0.43478260869565216,0.13043478260869565,,0.391304347826087,,,,21,0,1,23
568,0,0.4,0.4,0.1,,0.45,,,,21,0,1,20
569,0,0.30303030303030304,0.30303030303030304,0.06060606060606061,,0.5151515151515151,,,,21,0,1,33
570,0,0.32142857142857145,0.32142857142857145,0.14285714285714285,,0.39285714285714285,,,,15.178571428571429,2,10,28
571,0,0.43478260869565216,0.43478260869565216,0.08695652173913043,,0.30434782608695654,,,,21,0,6,23
572,0,0.25,0.25,0.16666666666666666,,0.5,,,,21,0,5,24
573,0,0.22727272727272727,0.22727272727272727,0.18181818181818182,,0.5,,,,21,0,6,22
574,0,0.20588235294117646,0.20588235294117646,0.11764705882352941,,0.5,,,,19.205882352941178,5,3,34
575,0,0.42857142857142855,0.42857142857142855,0.07142857142857142,,0.32142857142857145,,,,21.285714285714285,2,6,28
576,0,0.34375,0.34375,0.15625,,0.3125,,,,21.5,2,10,32
577,0,0.13043478260869565,0.13043478260869565,0.08695652173913043,,0.6086956521739131,,,,23.608695652173914,1,16,23
578,0,0.34782608695652173,0.34782608695652173,0.043478260869565216,,0.43478260869565216,,,,21,0,6,23
579,0,0.28125,0.28125,0.03125,,0.5625,,,,21,1,2,32
580,0,0.45161290322580644,0.45161290322580644,0.12903225806451613,,0.3225806451612903,,,,21,0,8,31
581,0,0.42857142857142855,0.42857142857142855,0.07142857142857142,,0.42857142857142855,,,,21,0,2,28
582,0,0.34782608695652173,0.34782608695652173,0.08695652173913043,,0.30434782608695654,,,,21.130434782608695,0,5,23
583,0,0.21212121212121213,0.21212121212121213,0.06060606060606061,,0.48484848484848486,,,,21.272727272727273,2,11,33
584,0,0.35,0.35,0.0,,0.35,,,,21,0,6,20
585,0,0.45454545454545453,0.45454545454545453,0.045454545454545456,,0.5,,,,21,0,9,22
586,0,0.3125,0.3125,0.125,,0.4375,,,,19.3125,9,6,32
587,0,0.25,0.25,0.05555555555555555,,0.5,,,,21,0,9,36
588,0,0.4782608695652174,0.4782608695652174,0.043478260869565216,,0.30434782608695654,,,,17.130434782608695,2,20,23
589,0,0.22580645161290322,0.22580645161290322,0.06451612903225806,,0.5161290322580645,,,,21,0,1,31
590,0,0.5,0.5,0.07692307692307693,,0.3076923076923077,,,,21.26923076923077,2,8,26
591,0,0.34375,0.34375,0.09375,,0.40625,,,,21,0,12,32
592,0,0.5555555555555556,0.5555555555555556,0.05555555555555555,,0.3888888888888889,,,,21,0,2,18
