tunnel_id,encoding_type,chunking_strategy,subdomain_pattern,timing_pattern,domain_used,total_queries,successful_queries,success_rate_pct,duration_seconds,label,ts_start_utc,ts_end_utc,accepted,insert_position
877,none,none,benign,realistic,adviceth.api.useinsider.com,22,22,100.0,295.9722468852997,0,2025-12-29T20:06:36.511173,2025-12-29T20:11:32.483420,1,-1
878,none,none,benign,realistic,1xbet-w12.top,26,26,100.0,292.4694125652313,0,2025-12-29T20:06:37.363182,2025-12-29T20:11:29.832594,1,-1
879,none,none,benign,realistic,u7copmmdxurpye7c2wbf5ouhc.org,31,31,100.0,286.55811166763306,0,2025-12-29T20:06:38.117833,2025-12-29T20:11:24.675945,1,-1
880,none,none,benign,realistic,esp8266-16d5d251.wifi,26,26,100.0,276.6700630187988,0,2025-12-29T20:06:38.681690,2025-12-29T20:11:15.351753,1,-1
881,none,none,benign,realistic,hbshzkj.com,26,26,100.0,291.1641380786896,0,2025-12-29T20:06:39.324571,2025-12-29T20:11:30.488709,1,-1
882,none,none,benign,realistic,relixis.com,25,25,100.0,293.7508215904236,0,2025-12-29T20:06:40.159085,2025-12-29T20:11:33.909906,1,-1
883,none,none,benign,realistic,carme.xerox.com,39,39,100.0,272.25944447517395,0,2025-12-29T20:06:40.930301,2025-12-29T20:11:13.189746,1,-1
884,none,none,benign,realistic,esp32-a61f8edc.local,34,34,100.0,271.87782192230225,0,2025-12-29T20:06:41.054148,2025-12-29T20:11:12.931970,1,-1
885,none,none,benign,realistic,snapanalytics.net,17,17,100.0,293.97486639022827,0,2025-12-29T20:06:41.710954,2025-12-29T20:11:35.685820,1,-1
886,none,none,benign,realistic,parkviewarthk-pages-dev.cdn.ampproject.org,30,30,100.0,292.761967420578,0,2025-12-29T20:06:42.265816,2025-12-29T20:11:35.027783,1,-1
887,none,none,benign,realistic,ujhcsp9r8rd5bfcsb.com,29,29,100.0,272.7174644470215,0,2025-12-29T20:06:43.148998,2025-12-29T20:11:15.866462,1,-1
888,none,none,benign,realistic,tplink-4ae520c1.local,29,29,100.0,290.9346332550049,0,2025-12-29T20:06:43.533270,2025-12-29T20:11:34.467903,1,-1
889,none,none,benign,realistic,creattica.com,29,29,100.0,282.97787165641785,0,2025-12-29T20:06:45.416612,2025-12-29T20:11:28.394484,1,-1
890,none,none,benign,realistic,tplink-069c6295.wifi,27,27,100.0,269.43511295318604,0,2025-12-29T20:06:47.205950,2025-12-29T20:11:16.641063,1,-1
891,none,none,benign,realistic,39k8zr5dgcfbh2x.xyz,18,18,100.0,273.8773181438446,0,2025-12-29T20:06:51.255828,2025-12-29T20:11:25.133147,1,-1
892,none,none,benign,realistic,igniteenergy.co.uk,23,23,100.0,275.44161796569824,0,2025-12-29T20:06:57.954053,2025-12-29T20:11:33.395671,1,-1
893,none,none,benign,realistic,www.test-ebiot.elisa.fi,28,28,100.0,259.95773816108704,0,2025-12-29T20:07:04.532448,2025-12-29T20:11:24.490186,1,-1
894,none,none,benign,realistic,gamerewards.co.za,18,18,100.0,255.8019142150879,0,2025-12-29T20:07:06.799299,2025-12-29T20:11:22.601213,1,-1
895,none,none,benign,realistic,martinmillersgin.com,22,22,100.0,256.1514506340027,0,2025-12-29T20:07:15.209337,2025-12-29T20:11:31.360788,1,-1
896,none,none,benign,realistic,bdjzjhnv2do21i2ga6h7f.xyz,21,21,100.0,232.32085466384888,0,2025-12-29T20:07:33.614560,2025-12-29T20:11:25.935415,1,-1
897,none,none,benign,realistic,39k8zr5dgcfbh2x.xyz,20,20,100.0,260.8546965122223,0,2025-12-29T20:11:36.300125,2025-12-29T20:15:57.154821,1,-1
898,none,none,benign,realistic,creattica.com,35,35,100.0,270.0896852016449,0,2025-12-29T20:11:37.072338,2025-12-29T20:16:07.162023,1,-1
899,none,none,benign,realistic,bdjzjhnv2do21i2ga6h7f.xyz,27,27,100.0,297.5327858924866,0,2025-12-29T20:11:37.686024,2025-12-29T20:16:35.218810,1,-1
900,none,none,benign,realistic,esp32-a61f8edc.local,30,30,100.0,292.4693343639374,0,2025-12-29T20:11:38.244700,2025-12-29T20:16:30.714035,1,-1
901,none,none,benign,realistic,hbshzkj.com,31,31,100.0,269.0475187301636,0,2025-12-29T20:11:39.352645,2025-12-29T20:16:08.400164,1,-1
902,none,none,benign,realistic,esp8266-16d5d251.wifi,25,25,100.0,270.8728611469269,0,2025-12-29T20:11:39.439202,2025-12-29T20:16:10.312063,1,-1
903,none,none,benign,realistic,ujhcsp9r8rd5bfcsb.com,17,17,100.0,294.86711502075195,0,2025-12-29T20:11:39.643805,2025-12-29T20:16:34.510920,1,-1
904,none,none,benign,realistic,gamerewards.co.za,26,26,100.0,272.0160412788391,0,2025-12-29T20:11:40.048978,2025-12-29T20:16:12.065019,1,-1
905,none,none,benign,realistic,tplink-4ae520c1.local,18,18,100.0,264.03477668762207,0,2025-12-29T20:11:40.519302,2025-12-29T20:16:04.554079,1,-1
906,none,none,benign,realistic,carme.xerox.com,33,33,100.0,293.1364731788635,0,2025-12-29T20:11:40.811192,2025-12-29T20:16:33.947665,1,-1
