tunnel_id,label,rr,A_frequency,AAAA_frequency,CNAME_frequency,TXT_frequency,MX_frequency,NS_frequency,NULL_frequency,rr_count,distinct_ip,unique_ttl,total_queries,rr_type,encoding_type,chunking_strategy,subdomain_pattern,timing_pattern,domain_used,success_rate,bytes_out_total,bytes_in_total,accepted
877,0,0.45454545454545453,0.45454545454545453,0.13636363636363635,,0.3181818181818182,,,,21.59090909090909,2,2,22,"{'TXT', 'CNAME', 'AAAA', 'A', 'NULL'}",none,none,benign,,adviceth.api.useinsider.com,1.0,1567.0,15118.0,1
878,0,0.38461538461538464,0.38461538461538464,0.11538461538461539,,0.4230769230769231,,,,21,0,1,26,"{'TXT', 'NS', 'AAAA', 'A', 'NULL'}",none,none,benign,,1xbet-w12.top,1.0,1496.0,16710.0,1
879,0,0.2903225806451613,0.2903225806451613,0.0967741935483871,,0.41935483870967744,,,,21,0,2,31,"{'TXT', 'MX', 'CNAME', 'AAAA', 'A', 'NULL'}",none,none,benign,,u7copmmdxurpye7c2wbf5ouhc.org,1.0,2272.0,21196.0,1
880,0,0.34615384615384615,0.34615384615384615,0.0,,0.46153846153846156,,,,21,0,17,26,"{'A', 'TXT', 'NULL', 'CNAME'}",none,none,benign,,esp8266-16d5d251.wifi,1.0,1702.0,17211.0,1
881,0,0.5769230769230769,0.5769230769230769,0.038461538461538464,,0.2692307692307692,,,,21,0,4,26,"{'TXT', 'CNAME', 'NS', 'AAAA', 'A', 'NULL'}",none,none,benign,,hbshzkj.com,1.0,1442.0,16833.0,1
882,0,0.36,0.36,0.08,,0.28,,,,21.12,0,1,25,"{'MX', 'TXT', 'CNAME', 'NS', 'AAAA', 'A', 'NULL'}",none,none,benign,,relixis.com,1.0,1387.0,18921.0,1
883,0,0.28205128205128205,0.28205128205128205,0.10256410256410256,,0.5641025641025641,,,,21,0,12,39,"{'MX', 'TXT', 'AAAA', 'A', 'NULL'}",none,none,benign,,carme.xerox.com,1.0,2321.0,25606.0,1
884,0,0.35294117647058826,0.35294117647058826,0.058823529411764705,,0.5,,,,23,0,23,34,"{'TXT', 'CNAME', 'AAAA', 'A', 'NULL'}",none,none,benign,,esp32-a61f8edc.local,1.0,2192.0,26749.0,1
885,0,0.35294117647058826,0.35294117647058826,0.058823529411764705,,0.5294117647058824,,,,21,0,4,17,"{'AAAA', 'A', 'TXT', 'NS'}",none,none,benign,,snapanalytics.net,1.0,1047.0,11364.0,1
886,0,0.3,0.3,0.06666666666666667,,0.4666666666666667,,,,23.266666666666666,1,8,30,"{'TXT', 'CNAME', 'NS', 'AAAA', 'A', 'NULL'}",none,none,benign,,parkviewarthk-pages-dev.cdn.ampproject.org,1.0,2591.0,23529.0,1
887,0,0.6551724137931034,0.6551724137931034,0.13793103448275862,,0.20689655172413793,,,,21,0,2,29,"{'AAAA', 'A', 'TXT'}",none,none,benign,,ujhcsp9r8rd5bfcsb.com,1.0,1899.0,19044.0,1
888,0,0.41379310344827586,0.41379310344827586,0.10344827586206896,,0.3793103448275862,,,,23,0,21,29,"{'TXT', 'MX', 'CNAME', 'AAAA', 'A', 'NULL'}",none,none,benign,,tplink-4ae520c1.local,1.0,1899.0,22867.0,1
889,0,0.27586206896551724,0.27586206896551724,0.06896551724137931,,0.4827586206896552,,,,21.551724137931036,2,6,29,"{'TXT', 'MX', 'CNAME', 'NS', 'AAAA', 'A', 'NULL'}",none,none,benign,,creattica.com,1.0,1666.0,19286.0,1
890,0,0.2962962962962963,0.2962962962962963,0.1111111111111111,,0.5185185185185185,,,,21,0,18,27,"{'TXT', 'MX', 'AAAA', 'A', 'NULL'}",none,none,benign,,tplink-069c6295.wifi,1.0,1744.0,17821.0,1
891,0,0.5,0.5,0.05555555555555555,,0.3333333333333333,,,,21,0,1,18,"{'TXT', 'CNAME', 'AAAA', 'A', 'NULL'}",none,none,benign,,39k8zr5dgcfbh2x.xyz,1.0,1139.0,11846.0,1
892,0,0.43478260869565216,0.43478260869565216,0.043478260869565216,,0.43478260869565216,,,,21,1,4,23,"{'TXT', 'MX', 'AAAA', 'A', 'NULL'}",none,none,benign,,igniteenergy.co.uk,1.0,1440.0,15378.0,1
893,0,0.2857142857142857,0.2857142857142857,0.07142857142857142,,0.5357142857142857,,,,21,0,3,28,"{'TXT', 'CNAME', 'NS', 'AAAA', 'A'}",none,none,benign,,www.test-ebiot.elisa.fi,1.0,1888.0,18558.0,1
894,0,0.2222222222222222,0.2222222222222222,0.1111111111111111,,0.6111111111111112,,,,21,1,3,18,"{'AAAA', 'A', 'TXT', 'NULL'}",none,none,benign,,gamerewards.co.za,1.0,1104.0,11575.0,1
895,0,0.2727272727272727,0.2727272727272727,0.3181818181818182,,0.13636363636363635,,,,21,1,1,22,"{'TXT', 'CNAME', 'NS', 'AAAA', 'A', 'NULL'}",none,none,benign,,martinmillersgin.com,1.0,1415.0,14711.0,1
896,0,0.2857142857142857,0.2857142857142857,0.09523809523809523,,0.47619047619047616,,,,21,0,1,21,"{'TXT', 'CNAME', 'NS', 'AAAA', 'A'}",none,none,benign,,bdjzjhnv2do21i2ga6h7f.xyz,1.0,1456.0,14098.0,1
897,0,0.35,0.35,0.2,,0.45,,,,21,0,1,20,"{'AAAA', 'A', 'TXT'}",none,none,benign,,39k8zr5dgcfbh2x.xyz,1.0,1266.0,13172.0,1
898,0,0.5142857142857142,0.5142857142857142,0.11428571428571428,,0.2857142857142857,,,,21.685714285714287,2,13,35,"{'TXT', 'MX', 'CNAME', 'NS', 'AAAA', 'A'}",none,none,benign,,creattica.com,1.0,2005.0,23399.0,1
899,0,0.4074074074074074,0.4074074074074074,0.037037037037037035,,0.37037037037037035,,,,21,0,1,27,"{'TXT', 'CNAME', 'NS', 'AAAA', 'A', 'NULL'}",none,none,benign,,bdjzjhnv2do21i2ga6h7f.xyz,1.0,1868.0,18098.0,1
900,0,0.26666666666666666,0.26666666666666666,0.03333333333333333,,0.5,,,,23,0,19,30,"{'TXT', 'CNAME', 'NS', 'AAAA', 'A', 'NULL'}",none,none,benign,,esp32-a61f8edc.local,1.0,1935.0,23607.0,1
901,0,0.2903225806451613,0.2903225806451613,0.0967741935483871,,0.45161290322580644,,,,21,0,5,31,"{'TXT', 'CNAME', 'NS', 'AAAA', 'A', 'NULL'}",none,none,benign,,hbshzkj.com,1.0,1715.0,20099.0,1
902,0,0.28,0.28,0.12,,0.52,,,,21,0,18,25,"{'AAAA', 'A', 'TXT', 'NULL'}",none,none,benign,,esp8266-16d5d251.wifi,1.0,1635.0,16545.0,1
903,0,0.35294117647058826,0.35294117647058826,0.058823529411764705,,0.4117647058823529,,,,21,0,3,17,"{'TXT', 'CNAME', 'AAAA', 'A', 'NULL'}",none,none,benign,,ujhcsp9r8rd5bfcsb.com,1.0,1114.0,11193.0,1
904,0,0.46153846153846156,0.46153846153846156,0.038461538461538464,,0.46153846153846156,,,,21,1,8,26,"{'AAAA', 'A', 'TXT', 'NULL'}",none,none,benign,,gamerewards.co.za,1.0,1602.0,16367.0,1
905,0,0.3888888888888889,0.3888888888888889,0.16666666666666666,,0.2777777777777778,,,,23,0,14,18,"{'TXT', 'MX', 'CNAME', 'AAAA', 'A', 'NULL'}",none,none,benign,,tplink-4ae520c1.local,1.0,1176.0,14190.0,1
906,0,0.5757575757575758,0.5757575757575758,0.0,,0.36363636363636365,,,,21,0,25,33,"{'A', 'TXT', 'NULL', 'CNAME'}",none,none,benign,,carme.xerox.com,1.0,1959.0,21604.0,1
907,0,0.34375,0.34375,0.15625,,0.375,,,,21,0,5,32,"{'TXT', 'CNAME', 'AAAA', 'A', 'NULL'}",none,none,benign,,igniteenergy.co.uk,1.0,2001.0,21502.0,1
908,0,0.5172413793103449,0.5172413793103449,0.10344827586206896,,0.27586206896551724,,,,21,0,6,29,"{'TXT', 'MX', 'CNAME', 'NS', 'AAAA', 'A'}",none,none,benign,,www.test-ebiot.elisa.fi,1.0,1954.0,19187.0,1
909,0,0.3,0.3,0.15,,0.375,,,,21,0,1,40,"{'TXT', 'MX', 'CNAME', 'NS', 'AAAA', 'A', 'NULL'}",none,none,benign,,u7copmmdxurpye7c2wbf5ouhc.org,1.0,2940.0,27347.0,1
910,0,0.4074074074074074,0.4074074074074074,0.07407407407407407,,0.3333333333333333,,,,21,1,3,27,"{'TXT', 'CNAME', 'AAAA', 'A', 'NULL'}",none,none,benign,,martinmillersgin.com,1.0,1742.0,18087.0,1
911,0,0.3225806451612903,0.3225806451612903,0.0,,0.45161290322580644,,,,21,0,8,31,"{'A', 'TXT', 'NULL', 'CNAME'}",none,none,benign,,snapanalytics.net,1.0,1905.0,20727.0,1
912,0,0.2692307692307692,0.2692307692307692,0.07692307692307693,,0.4230769230769231,,,,21,0,3,26,"{'TXT', 'MX', 'CNAME', 'AAAA', 'A', 'NULL'}",none,none,benign,,relixis.com,1.0,1447.0,19421.0,1
913,0,0.2619047619047619,0.2619047619047619,0.09523809523809523,,0.5,,,,21,0,23,42,"{'TXT', 'MX', 'CNAME', 'NS', 'AAAA', 'A', 'NULL'}",none,none,benign,,tplink-069c6295.wifi,1.0,2702.0,27709.0,1
914,0,0.34782608695652173,0.34782608695652173,0.08695652173913043,,0.4782608695652174,,,,23.130434782608695,1,8,23,"{'TXT', 'CNAME', 'AAAA', 'A', 'NULL'}",none,none,benign,,parkviewarthk-pages-dev.cdn.ampproject.org,1.0,1984.0,17930.0,1
915,0,0.4,0.4,0.075,,0.375,,,,21.475,2,7,40,"{'TXT', 'MX', 'CNAME', 'AAAA', 'A'}",none,none,benign,,adviceth.api.useinsider.com,1.0,2859.0,27434.0,1
916,0,0.4642857142857143,0.4642857142857143,0.07142857142857142,,0.42857142857142855,,,,21,0,1,28,"{'AAAA', 'A', 'TXT', 'NULL'}",none,none,benign,,1xbet-w12.top,1.0,1613.0,17988.0,1
917,0,0.4,0.4,0.16,,0.32,,,,21,0,1,25,"{'TXT', 'CNAME', 'NS', 'AAAA', 'A', 'NULL'}",none,none,benign,,1xbet-w12.top,1.0,1435.0,16063.0,1
918,0,0.2727272727272727,0.2727272727272727,0.09090909090909091,,0.5909090909090909,,,,21,0,16,22,"{'AAAA', 'A', 'TXT', 'NS'}",none,none,benign,,carme.xerox.com,1.0,1305.0,14424.0,1
919,0,0.35294117647058826,0.35294117647058826,0.11764705882352941,,0.4117647058823529,,,,23,0,25,34,"{'TXT', 'CNAME', 'NS', 'AAAA', 'A', 'NULL'}",none,none,benign,,tplink-4ae520c1.local,1.0,2224.0,26813.0,1
920,0,0.2222222222222222,0.2222222222222222,0.14814814814814814,,0.37037037037037035,,,,21,0,6,27,"{'MX', 'TXT', 'CNAME', 'NS', 'AAAA', 'A', 'NULL'}",none,none,benign,,www.test-ebiot.elisa.fi,1.0,1819.0,17897.0,1
921,0,0.2857142857142857,0.2857142857142857,0.07142857142857142,,0.4642857142857143,,,,21,0,19,28,"{'TXT', 'CNAME', 'NS', 'AAAA', 'A', 'NULL'}",none,none,benign,,tplink-069c6295.wifi,1.0,1804.0,18476.0,1
