tunnel_id,label,rr,A_frequency,AAAA_frequency,CNAME_frequency,TXT_frequency,MX_frequency,NS_frequency,NULL_frequency,rr_count,distinct_ip,unique_ttl,total_queries,rr_type,encoding_type,chunking_strategy,subdomain_pattern,timing_pattern,domain_used,success_rate,bytes_out_total,bytes_in_total,accepted
877,0,0.16666666666666666,0.16666666666666666,0.041666666666666664,,0.4583333333333333,,,,21.125,1,3,24,"{'TXT', 'NS', 'AAAA', 'MX', 'A', 'CNAME'}",none,none,benign,,myfea.org,1.0,1283.0,15508.0,1
878,0,0.19230769230769232,0.19230769230769232,0.038461538461538464,,0.5769230769230769,,,,21,0,5,26,"{'TXT', 'AAAA', 'NULL', 'A', 'CNAME'}",none,none,benign,,seal-easternnc.bbb.org,1.0,1726.0,17390.0,1
879,0,0.2631578947368421,0.2631578947368421,0.10526315789473684,,0.5263157894736842,,,,21,0,13,19,"{'TXT', 'AAAA', 'MX', 'A', 'CNAME'}",none,none,benign,,raspi-fb897d85.home,1.0,1207.0,12503.0,1
880,0,0.3902439024390244,0.3902439024390244,0.07317073170731707,,0.36585365853658536,,,,21,1,3,41,"{'TXT', 'NS', 'AAAA', 'MX', 'A', 'CNAME'}",none,none,benign,,consejosparamujeresponds.com,1.0,2967.0,28917.0,1
881,0,0.25,0.25,0.17857142857142858,,0.42857142857142855,,,,21,0,1,28,"{'TXT', 'AAAA', 'NULL', 'A', 'CNAME'}",none,none,benign,,alco-magazin065.site,1.0,1808.0,18459.0,1
882,0,0.3870967741935484,0.3870967741935484,0.03225806451612903,,0.2903225806451613,,,,21,0,1,31,"{'TXT', 'AAAA', 'MX', 'NULL', 'A', 'CNAME'}",none,none,benign,,mue1-ncs-ds-prod-pip-blue-stack-std.eastus.cloudapp.azure.com,1.0,3264.0,23288.0,1
883,0,0.2647058823529412,0.2647058823529412,0.058823529411764705,,0.6176470588235294,,,,21.323529411764707,2,5,34,"{'TXT', 'AAAA', 'NULL', 'A', 'CNAME'}",none,none,benign,,toystory2-lefilm.com,1.0,2191.0,23407.0,1
884,0,0.3333333333333333,0.3333333333333333,0.08333333333333333,,0.375,,,,23,0,17,24,"{'TXT', 'AAAA', 'MX', 'NULL', 'A', 'CNAME'}",none,none,benign,,mikrotik-4b791ea1.local,1.0,1620.0,19036.0,1
885,0,0.4074074074074074,0.4074074074074074,0.0,,0.5185185185185185,,,,21,0,6,27,"{'A', 'TXT', 'NULL', 'CNAME'}",none,none,benign,,assets.guernseypress.com,1.0,1847.0,18343.0,1
886,0,0.27586206896551724,0.27586206896551724,0.13793103448275862,,0.3793103448275862,,,,23.275862068965516,1,14,29,"{'TXT', 'AAAA', 'MX', 'NULL', 'A', 'CNAME'}",none,none,benign,,m.maxmodels.pl,1.0,1699.0,22400.0,1
